Schoolid,School_Name,medium,Latitude,Longitude,shift,low_class,High_class,Z_ID,Zone_Name,D_ID,District_name,SchManagement,SchCategory,typeOfSchool
1925020,"Tuglakabad Extn., No.2-GBSSS",Urdu,28.521446,77.258147,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Co-ed
1925027,Tekhand - GGSSS,Urdu,28.52472272,77.28375167,Morning,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925029,"Kalkaji, No.1-SKV (Veer Savarkar)",Urdu,28.54544466,77.24997552,General,Nursery,12,2225,Zone-25,22,South East,Government,Sarvodaya Sr. Secondary Schools,Boys
1925031,"Tuglakabad, Railway Colony-SKV (Rani Jhansi)",Urdu,28.50692262,77.28933069,Morning,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1925032,Green Park Extn.-SKV (Gargi),Urdu,28.56016652,77.20170375,General,Nursery,12,1923,Zone-23,19,South,Government,Sarvodaya Sr. Secondary Schools,Girls
1925033,New Friends Colony-SKV,Urdu,28.56296286,77.27254701,Morning,Nursery,12,2225,Zone-25,22,South East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1925035,Noor Nagar-SKV,Urdu,28.55868946,77.28760664,Morning,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Boys
1925037,"Molar Band, No. 1- SKV",Urdu,28.49531764,77.32626776,Morning,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Boys
1925038,"Kalkaji, No.2-S(Co-ed)V",Urdu,28.54409416,77.26033972,General,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Boys
1925039,"Kalkaji, No.3-G(Co-ed)SSS",Urdu,28.5429913,77.25960612,General,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925009,"Molar Band, No.1- SBV",Urdu,28.4948821,77.3240068,Evening,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Boys
1925014,Tuglakabad Village- SBV,Urdu,28.51106097,77.26600537,Evening,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Boys
1925040,Tuglakabad Village-SKV,Urdu,28.51023074,77.26666155,Morning,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Boys
1925041,"Kalkaji, DDA Flats, Phase II-G(Co-ed)SSS",Urdu,28.53376625,77.25699573,General,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925042,"Badarpur, No.1-GGSSS",Urdu,28.50756985,77.29942018,Morning,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925045,"Kalkaji, DDA Flats, Phase II-G(Co-ed)SS",Urdu,28.53412997,77.25612929,General,6,10,2229,Zone-29,22,South East,Government,Secondary Schools,Boys
1925046,"Tuglakabad, Railway Colony, No.2-GGSSS",Urdu,28.50687613,77.28998157,Morning,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925048,Tuglakabad Extn.-GGSS,Urdu,28.52449036,77.26160645,Morning,6,10,2229,Zone-29,22,South East,Government,Secondary Schools,Boys
1925049,Joga Bai-SKV,Urdu,28.565724,77.269405,Morning,Nursery,12,2225,Zone-25,22,South East,Government,Sarvodaya Sr. Secondary Schools,Girls
1925050,Molar Band-GBSSS,Urdu,28.49495115,77.3268104,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Co-ed
