state_name,state_code,district_name,district_code,number_of_schools,number_of_teachers,students_surveyed,learning_outcome_code,performance,subject,grade,learning_outcome,latitude,longitude
Delhi,10,North West A,82,66,320,723,SCI1009,39.42414197,Sci,Grade 10,Applies scientific concepts in daily life and solving problems,28.7186,77.0685
Delhi,10,North West B,742,66,323,760,SCI1009,41.77574732,Sci,Grade 10,Applies scientific concepts in daily life and solving problems,28.7373,77.091
Delhi,10,South,743,30,75,698,M514,33.10532489,Math,Grade 5,"Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals",28.5436,77.2706
Delhi,10,South East,744,34,98,756,M514,31.05294546,Math,Grade 5,"Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals",28.563,77.2611
Delhi,10,New Delhi,79,34,98,899,M514,33.62199055,Math,Grade 5,"Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals",28.5669,77.1295
Delhi,10,South West A,84,41,115,1099,M514,37.14395488,Math,Grade 5,"Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals",28.5929,77.0346
Delhi,10,South West B,745,27,77,737,M514,31.73680731,Math,Grade 5,"Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals",28.6122,76.9865
Delhi,10,East,740,34,93,941,M514,35.11114838,Math,Grade 5,"Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals",28.6146,77.2959
Delhi,10,West B,746,28,89,746,M514,31.8025965,Math,Grade 5,"Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals",28.6196,77.0881
Delhi,10,West A,85,30,85,781,M514,35.73186705,Math,Grade 5,"Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals",28.6246,77.2987
Delhi,10,North,80,31,94,772,M514,33.98173992,Math,Grade 5,"Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals",28.6859,77.2148
Delhi,10,Central,77,30,82,689,M514,32.17785936,Math,Grade 5,"Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals",28.6859,77.2148
Delhi,10,North East,741,28,66,674,M514,28.25788405,Math,Grade 5,"Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals",28.7133,77.257
Delhi,10,North West A,82,28,71,711,M514,31.36258988,Math,Grade 5,"Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals",28.7186,77.0685
Delhi,10,North West B,742,31,85,856,M514,35.95734345,Math,Grade 5,"Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals",28.7373,77.091
Delhi,10,South,743,50,193,691,SST823,40.92674145,Sst,Grade 8,Applies the knowledge of the Fundamental Rights to find out about their violation. protection and promotion in a given situation,28.5436,77.2706
Delhi,10,South East,744,62,247,785,SST823,35.96373844,Sst,Grade 8,Applies the knowledge of the Fundamental Rights to find out about their violation. protection and promotion in a given situation,28.563,77.2611
Delhi,10,New Delhi,79,55,216,728,SST823,44.01671753,Sst,Grade 8,Applies the knowledge of the Fundamental Rights to find out about their violation. protection and promotion in a given situation,28.5669,77.1295
Delhi,10,South West A,84,67,253,859,SST823,38.22107916,Sst,Grade 8,Applies the knowledge of the Fundamental Rights to find out about their violation. protection and promotion in a given situation,28.5929,77.0346
Delhi,10,South West B,745,51,204,720,SST823,35.53301375,Sst,Grade 8,Applies the knowledge of the Fundamental Rights to find out about their violation. protection and promotion in a given situation,28.6122,76.9865
Delhi,10,East,740,62,239,860,SST823,36.35327371,Sst,Grade 8,Applies the knowledge of the Fundamental Rights to find out about their violation. protection and promotion in a given situation,28.6146,77.2959
Delhi,10,West B,746,56,219,705,SST823,34.10713153,Sst,Grade 8,Applies the knowledge of the Fundamental Rights to find out about their violation. protection and promotion in a given situation,28.6196,77.0881
Delhi,10,West A,85,57,213,776,SST823,26.72586016,Sst,Grade 8,Applies the knowledge of the Fundamental Rights to find out about their violation. protection and promotion in a given situation,28.6246,77.2987
Delhi,10,North,80,62,248,804,SST823,38.48742221,Sst,Grade 8,Applies the knowledge of the Fundamental Rights to find out about their violation. protection and promotion in a given situation,28.6859,77.2148
