_id,Schoolid,School_Name,medium,Latitude,Longitude,shift,low_class,High_class,Z_ID,Zone_Name,D_ID,District_name,SchManagement,SchCategory,createdAt,updatedAt,__v,typeOfSchool,stream,minority,affiliation
6530f4cdbc3009aaa5bda7a3,1002181,"Mandawali-SBV, No. 3",N/A,28.63072449,77.29508196,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.877Z,2023-10-19T09:20:13.877Z,0,Girls,Vocational,Yes,Delhi Board
6530f4cdbc3009aaa5bda7a5,1002182,"Mayur Vihar, Phase I, Chilla Gaon-G(Co-ed)SSS",N/A,28.59809098,77.29613096,General,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,2023-10-19T09:20:13.878Z,2023-10-19T09:20:13.878Z,0,Girls,Art,Yes,Delhi Board
6530f4cdbc3009aaa5bda7a7,1002183,New Ashok Nagar-SKV,N/A,28.58896416,77.30549811,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.879Z,2023-10-19T09:20:13.879Z,0,Boys,Commerce,Yes,Delhi Board
6530f4cdbc3009aaa5bda7a9,1002184,Gazipur-SKV,N/A,28.63622948,77.31861841,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.882Z,2023-10-19T09:20:13.882Z,0,Girls,Science,Yes,Delhi Board
6530f4cdbc3009aaa5bda7ab,1002185,Vasundhra Enclave-GGSSS,N/A,28.600517,77.320854,Morning,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,2023-10-19T09:20:13.883Z,2023-10-19T09:20:13.883Z,0,Boys,Vocational,Yes,Delhi Board
6530f4cdbc3009aaa5bda7ad,1002186,New Kondli-GGSSS,N/A,28.60371777,77.33388093,Morning,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,2023-10-19T09:20:13.884Z,2023-10-19T09:20:13.884Z,0,Girls,Art,Yes,Delhi Board
6530f4cdbc3009aaa5bda7af,1002187,New Ashok Nagar-GBSSS,N/A,28.58897873,77.30556178,Evening,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,2023-10-19T09:20:13.886Z,2023-10-19T09:20:13.886Z,0,Boys,Commerce,Yes,Delhi Board
6530f4cdbc3009aaa5bda7b1,1002189,"Patparganj, I.P. Extn- Sarvodaya (Co-ed) SSS",N/A,28.63130126,77.31316224,General,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.887Z,2023-10-19T09:20:13.887Z,0,Boys,Science,Yes,Delhi Board
6530f4cdbc3009aaa5bda7b3,1002190,"Mandawali , No.3 - SKV",N/A,28.62877177,77.29523586,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.891Z,2023-10-19T09:20:13.891Z,0,Girls,Vocational,Yes,Delhi Board
6530f4cdbc3009aaa5bda7b5,1002191,"Shakarpur, School Block-GGSSS",N/A,28.624868,77.277781,Morning,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,2023-10-19T09:20:13.892Z,2023-10-19T09:20:13.892Z,0,Boys,Art,Yes,Delhi Board
6530f4cdbc3009aaa5bda7b7,1002192,"Shakarpur, No.1-SBV",N/A,28.63394148,77.28446037,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.894Z,2023-10-19T09:20:13.894Z,0,Co-ed,Commerce,Yes,Delhi Board
6530f4cdbc3009aaa5bda7b9,1002193,"Shakarpur, No.2-SKV",N/A,28.63390924,77.2854446,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.895Z,2023-10-19T09:20:13.895Z,0,Co-ed,Science,Yes,Delhi Board
6530f4cdbc3009aaa5bda7bb,1002195,"Shakarpur, School Block-SBV",N/A,28.6249142,77.2777233,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.896Z,2023-10-19T09:20:13.896Z,0,Girls,Vocational,Yes,Delhi Board
6530f4cdbc3009aaa5bda7bd,1002196,"Shakarpur, No.1-SKV",N/A,28.63369026,77.28419638,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.899Z,2023-10-19T09:20:13.899Z,0,Boys,Art,Yes,Delhi Board
6530f4cdbc3009aaa5bda7bf,1002197,"Trilokpuri, Block 27-GBSSS",N/A,28.60713763,77.30487306,Evening,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,2023-10-19T09:20:13.902Z,2023-10-19T09:20:13.902Z,0,Girls,Commerce,Yes,Delhi Board
6530f4cdbc3009aaa5bda7c1,1002198,Kondli-SBV,N/A,28.6133419,77.32281681,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.904Z,2023-10-19T09:20:13.904Z,0,Boys,Science,Yes,Delhi Board
6530f4cdbc3009aaa5bda7c3,1002199,"Mayur Vihar, Phase III GGSS",N/A,28.60892647,77.32920511,Morning,6,10,1002,Zone-02,10,East,Government,Secondary Schools,2023-10-19T09:20:13.906Z,2023-10-19T09:20:13.906Z,0,Boys,Vocational,Yes,Delhi Board
6530f4cdbc3009aaa5bda7c5,1002263,"Mayur Vihar, Phase III, Kondli-Gharauli-GBSSS-1002263",N/A,28.600421,77.31961,Evening,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,2023-10-19T09:20:13.908Z,2023-10-19T09:20:13.908Z,0,Boys,Art,Yes,Delhi Board
6530f4cdbc3009aaa5bda591,1002349,KERALA EDUCATION SOCIETY SENIOR SEC.SCHOOL,N/A,28.61531182,77.34039186,Morning,6,12,1002,Zone-02,10,East,Aided,Senior Secondary Schools,2023-10-19T09:20:13.274Z,2023-10-19T09:20:13.274Z,0,Girls,Commerce,Yes,Delhi Board
6530f4cdbc3009aaa5bda7c7,1002350,"Khichripur Village, Govt.(Co-ed)SS",N/A,28.62073776,77.31325429,General,6,10,1002,Zone-02,10,East,Government,Secondary Schools,2023-10-19T09:20:13.911Z,2023-10-19T09:20:13.911Z,0,Boys,Science,Yes,Delhi Board
6530f4cdbc3009aaa5bda7c9,1002351,"Preet Vihar, Govt. Co-Ed Senior Secondary School",N/A,28.63603368,77.29528039,General,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,2023-10-19T09:20:13.913Z,2023-10-19T09:20:13.913Z,0,Co-ed,Vocational,Yes,Delhi Board
