textbook_id,textbook_name,medium,grade,subject,day_of_created_on,qr_coverage,qr_codes_linked_to_content,total_qr_codes
do_31304321511906508812545,क्षितिज भाग -1;कोर्स  - अ (Class 9),Hindi,Class 9,Hindi,15/06/2020,0,0,0
do_31304328273433395216060,क्षितिज भाग -2;कोर्स  - अ (Class 10),Hindi,Class 10,Hindi,15/06/2020,0,0,0
do_3136244106054451201275,खेल पिटारा (KHEL Pitara),Hindi;English,Class 1;Class 2;Class 3,English;Hindi;General Awareness;Mathematics,14/09/2022,100,6,6
do_313025053827350528111374,गणित,Hindi,Class 11,Mathematics,20/05/2020,0,0,0
do_31304287774352179214805,गणित (Class 8),Hindi,Class 8,Mathematics,14/06/2020,0,0,0
do_3130349780005601281261,गणित कक्षा 10 (Class 10),Hindi,Class 10,Mathematics,03/06/2020,0,0,0
do_3130349599091097601374,गणित कक्षा 7 (Class 7),Hindi,Class 7,Mathematics,03/06/2020,0,0,0
do_31303498306203648012046,गणित कक्षा 8 (Class 8),Hindi,Class 8,Mathematics,03/06/2020,0,0,0
do_3130349765626920961857,गणित कक्षा 9 (Class 9),Hindi,Class 9,Mathematics,03/06/2020,0,0,0
do_3130349572046766081300,गणित कक्षा ६ की पाठ्यपुस्तक (Class 6),Hindi,Class 6,Mathematics,03/06/2020,0,0,0
do_31304262756708352012683,गणित का जादू (Class 5),Hindi,Class 5,Mathematics,14/06/2020,0,0,0
do_31304206649376768011598,गणित का जादू भाग 1,Hindi,Class 1,Mathematics,13/06/2020,0,0,0
do_31304209567409766411929,गणित का जादू भाग 2,Hindi,Class 2,Mathematics,13/06/2020,0,0,0
do_31304210576581427212107,गणित का जादू भाग 3,Hindi,Class 3,Mathematics,13/06/2020,0,0,0
do_31304217456558899211746,गणित का जादू भाग 4,Hindi,Class 4,Mathematics,13/06/2020,0,0,0
do_3130250558751539201682,गणित भाग-1,Hindi,Class 12,Mathematics,20/05/2020,0,0,0
do_3130250574015692801695,गणित भाग-2,Hindi,Class 12,Mathematics,20/05/2020,0,0,0
do_31304278299920793614984,दूर्वा भाग - 2 (Class 7),Hindi,Class 7,Hindi,14/06/2020,0,0,0
do_31304287567704883214727,दूर्वा भाग - 3 (Class 8),Hindi,Class 8,Hindi,14/06/2020,0,0,0
do_31304273409758822412833,दूर्वा भाग 1 (Class 6),Hindi,Class 6,Hindi,14/06/2020,0,0,0
do_31304273327554560013326,पृथ्वी - हमारा आवास,Hindi,Class 6,Geography,14/06/2020,0,0,0
do_31304278380589875213741,बाल महाभारत कथा (Class 7),Hindi,Class 7,Hindi,14/06/2020,0,0,0
do_31304270696349696012008,बाल रामकथा (Class 6),Hindi,Class 6,Hindi,14/06/2020,0,0,0
do_31304321572081664015989,भारत और समकालीन विश्‍व-1 (Class 9),Hindi,Class 9,History,15/06/2020,0,0,0
do_31304328335501721613316,भारत और समकालीन विश्‍व-2 (Class 10),Hindi,Class 10,History,15/06/2020,0,0,0
do_31304281125722521614998,भारत की खोज (Class 8),Hindi,Class 8,Hindi,14/06/2020,0,0,0
do_3131395732393410561907,रसायन विज्ञान भाग-II (by NCERT),Hindi,Class 12,Chemistry,29/10/2020,0,0,0
do_31304209466682572812011,रिमझिम,Hindi,Class 2,Hindi,13/06/2020,0,0,0
do_31304210206928076811991,रिमझिम,Hindi,Class 3,Hindi,13/06/2020,0,0,0
do_31304206404143513611995,रिमझिम,Hindi,Class 1,Hindi,13/06/2020,0,0,0
do_31304210458910720012739,रिमझिम,Hindi,Class 3,Hindi,13/06/2020,0,0,0
do_31304262605891174413410,रिमझिम,Hindi,Class 5,Hindi,14/06/2020,0,0,0
do_31304217318223052812585,रिमझिम (Class 4),Hindi,Class 4,Hindi,13/06/2020,0,0,0
do_31304278541398835214868,रुचिरा  द्वितीयो  भागः (Class 7),Sanskrit,Class 7,Sanskrit,14/06/2020,0,0,0
do_31304287944200192015763,रुचिरा तृतीयो भागः (Class 8),Sanskrit,Class 8,Sanskrit,14/06/2020,0,0,0
do_31304273946058752012084,रुचिरा प्रथमो भागः (Class 6),Sanskrit,Class 6,Sanskrit,14/06/2020,0,0,0
do_31304321677212057613113,लोकतांत्रिक राजनीति-1 (Class 9),Hindi,Class 9,Political Science,15/06/2020,0,0,0
do_31304328561924505613637,लोकतांत्रिक राजनीति-2 (Class 10),Hindi,Class 10,Political Science,15/06/2020,0,0,0
do_31304270770230067213497,वसंत १ (Class 6),Hindi,Class 6,Hindi,14/06/2020,0,0,0
do_31304278597788467213565,वसंत २ (Class 7),Hindi,Class 7,Hindi,14/06/2020,0,0,0
do_31304281184892518412531,वसंत ३ (Class 8),Hindi,Class 8,Hindi,14/06/2020,0,0,0
do_31304328631000268816130,विज्ञान (Class 10),Hindi,Class 10,Science,15/06/2020,0,0,0
do_31304278691696640014169,विज्ञान (Class 7),Hindi,Class 7,Science,14/06/2020,0,0,0
do_31304287891528908815689,विज्ञान (Class 8),Hindi,Class 8,Science,14/06/2020,0,0,0
do_31304321745210572816144,विज्ञान (Class 9),Hindi,Class 9,Science,15/06/2020,0,0,0
do_31304273802761830414349,विज्ञान कक्षा ६ के लिए पाठ्य पुस्तक (Class 6),Hindi,Class 6,Science,14/06/2020,0,0,0
do_31304328921667174413671,व्याकरणवीथि: (Class 9;10),Sanskrit,Class 9;Class 10,Sanskrit,15/06/2020,0,0,0
do_31304328837128192016679,शेमुषी द्वितीयो भाग: (Class 10),Sanskrit,Class 10,Sanskrit,15/06/2020,0,0,0
do_31304321798247219216206,शेमुषी प्रथमो भाग: (Class 9),Sanskrit,Class 9,Sanskrit,15/06/2020,0,0,0
do_31304287640107417615309,संक्षिप्त बुद्धचरित (Class 8),Hindi,Class 8,Hindi,14/06/2020,0,0,0
do_31313957281129267211964,संचयन भाग -1 (by NCERT),Hindi,Class 9,Hindi,29/10/2020,0,0,0
do_31304320561113497615510,संचयन १ (Class 9),Hindi,Class 9,Hindi,15/06/2020,0,0,0
do_31304325326774272016502,संचयन २ (Class 10),Hindi,Class 10,Hindi,15/06/2020,0,0,0
do_31304287501785497615283,संसाधन एवं विकास (Class 8),Hindi,Class 8,Geography,14/06/2020,0,0,0
do_31304321364837171215714,समकालीन भारत - 1 (Class 9),Hindi,Class 9,Geography,15/06/2020,0,0,0
do_31304327665331404814176,समकालीन भारत - 2 (Class 10),Hindi,Class 10,Geography,15/06/2020,0,0,0
do_31304273885928652813360,सामाजिक एवम राजनितिक जीवन-I (Class 6),Hindi,Class 6,Political Science,14/06/2020,0,0,0
do_31304278749419110414243,सामाजिक और राजनीतिक जीवन -2 (Class 7),Hindi,Class 7,Political Science,14/06/2020,0,0,0
do_31304287828583219214871,सामाजिक और राजनीतिक जीवन -3 (Class 8),Hindi,Class 8,Political Science,14/06/2020,0,0,0
do_31304320637757030415694,स्पर्श १ (Class 9),Hindi,Class 9,Hindi,15/06/2020,0,0,0
do_31304325657023283213659,स्पर्श २ (Class 10),Hindi,Class 10,Hindi,15/06/2020,0,0,0
do_31304278798476902415058,हमारा पर्यावरण (Class 7),Hindi,Class 7,Geography,14/06/2020,0,0,0
